energy: 29.310000, zcr: 16.000000
energy: 31.720000, zcr: 12.000000
energy: 50.930000, zcr: 13.000000
energy: 28.050000, zcr: 17.000000
energy: 49.670000, zcr: 14.000000
energy: 28.580000, zcr: 18.000000
energy: 34.790000, zcr: 13.000000
energy: 34.870000, zcr: 20.000000
energy: 62.860000, zcr: 10.000000
energy: 105.190000, zcr: 9.000000
energy: 32.660000, zcr: 18.000000
energy: 44.940000, zcr: 17.000000
energy: 49.990000, zcr: 19.000000
energy: 58.610000, zcr: 9.000000
energy: 46.040000, zcr: 10.000000
energy: 45.700000, zcr: 12.000000
energy: 43.850000, zcr: 17.000000
energy: 67.900000, zcr: 10.000000
energy: 44.570000, zcr: 14.000000
energy: 44.490000, zcr: 15.000000
energy: 50.390000, zcr: 13.000000
energy: 37.350000, zcr: 17.000000
energy: 40.740000, zcr: 14.000000
energy: 38.760000, zcr: 10.000000
energy: 51.070000, zcr: 13.000000
energy: 51.980000, zcr: 19.000000
energy: 40.370000, zcr: 16.000000
energy: 27.640000, zcr: 16.000000
energy: 73.920000, zcr: 11.000000
energy: 46.440000, zcr: 14.000000
energy: 74.550000, zcr: 12.000000
energy: 76.380000, zcr: 9.000000
energy: 56.230000, zcr: 22.000000
energy: 44.350000, zcr: 16.000000
energy: 68.220000, zcr: 20.000000
energy: 326960.720000, zcr: 12.000000
energy: 19453.920000, zcr: 1.000000
energy: 170.460000, zcr: 11.000000
energy: 687.760000, zcr: 7.000000
energy: 144.020000, zcr: 15.000000
energy: 72.840000, zcr: 13.000000
energy: 46.650000, zcr: 17.000000
energy: 51.360000, zcr: 12.000000
energy: 134.070000, zcr: 10.000000
energy: 54.930000, zcr: 17.000000
energy: 40.130000, zcr: 18.000000
energy: 84.630000, zcr: 15.000000
energy: 55.030000, zcr: 13.000000
energy: 9983156.140000, zcr: 1.000000
energy: 70562307.480000, zcr: 0.000000
energy: 228160894.360000, zcr: 0.000000
energy: 234420772.780000, zcr: 0.000000
energy: 210929295.680000, zcr: 0.000000
energy: 195273273.940000, zcr: 0.000000
energy: 201664446.040000, zcr: 0.000000
energy: 197045902.710000, zcr: 0.000000
energy: 195112240.200000, zcr: 0.000000
energy: 181704566.790000, zcr: 0.000000
energy: 151292613.620000, zcr: 0.000000
energy: 173065796.880000, zcr: 0.000000
energy: 150696783.620000, zcr: 0.000000
energy: 169158968.300000, zcr: 0.000000
energy: 209575690.080000, zcr: 0.000000
energy: 194738820.190000, zcr: 0.000000
energy: 160749015.970000, zcr: 0.000000
energy: 161848749.270000, zcr: 0.000000
energy: 160172177.370000, zcr: 0.000000
energy: 145036738.880000, zcr: 0.000000
energy: 143457184.030000, zcr: 1.000000
energy: 132763011.050000, zcr: 0.000000
energy: 125856366.330000, zcr: 1.000000
energy: 158626486.590000, zcr: 0.000000
energy: 157168464.050000, zcr: 0.000000
energy: 160595936.300000, zcr: 0.000000
energy: 152469098.480000, zcr: 0.000000
energy: 176252215.360000, zcr: 0.000000
energy: 160732023.450000, zcr: 0.000000
energy: 141963539.260000, zcr: 0.000000
energy: 158529303.390000, zcr: 0.000000
energy: 137068533.050000, zcr: 0.000000
energy: 138414397.660000, zcr: 0.000000
energy: 132711861.510000, zcr: 0.000000
energy: 135609245.610000, zcr: 0.000000
energy: 148689841.090000, zcr: 0.000000
energy: 147036883.540000, zcr: 0.000000
energy: 154291862.150000, zcr: 0.000000
energy: 180043316.010000, zcr: 0.000000
energy: 185111214.410000, zcr: 0.000000
energy: 175628426.000000, zcr: 0.000000
energy: 171355915.990000, zcr: 0.000000
energy: 169568680.520000, zcr: 0.000000
energy: 181119303.580000, zcr: 0.000000
energy: 193073348.110000, zcr: 0.000000
energy: 160873501.340000, zcr: 0.000000
energy: 169491232.220000, zcr: 0.000000
energy: 148908109.450000, zcr: 0.000000
energy: 173552010.860000, zcr: 0.000000
energy: 168802721.430000, zcr: 0.000000
energy: 167692264.510000, zcr: 0.000000
energy: 141292084.170000, zcr: 0.000000
energy: 146668696.630000, zcr: 0.000000
energy: 159311864.870000, zcr: 0.000000
energy: 161911532.870000, zcr: 0.000000
energy: 174932006.150000, zcr: 0.000000
energy: 174262484.320000, zcr: 0.000000
energy: 178059563.190000, zcr: 0.000000
energy: 165086857.410000, zcr: 0.000000
energy: 142498922.810000, zcr: 0.000000
energy: 68402213.770000, zcr: 0.000000
energy: 19443390.490000, zcr: 0.000000
energy: 88730.780000, zcr: 0.000000
energy: 9374.030000, zcr: 0.000000
energy: 1045.180000, zcr: 5.000000
energy: 39.840000, zcr: 11.000000
energy: 36.190000, zcr: 17.000000
energy: 51.020000, zcr: 17.000000
energy: 31.500000, zcr: 16.000000
energy: 54.040000, zcr: 16.000000
energy: 50.330000, zcr: 16.000000
energy: 62.140000, zcr: 14.000000
energy: 55.300000, zcr: 13.000000
energy: 49.080000, zcr: 13.000000
energy: 57.870000, zcr: 11.000000
energy: 57.980000, zcr: 16.000000
energy: 72.660000, zcr: 9.000000
energy: 77.080000, zcr: 11.000000
energy: 111.680000, zcr: 8.000000
energy: 155.100000, zcr: 8.000000
energy: 73.260000, zcr: 10.000000
energy: 52.300000, zcr: 16.000000
energy: 49.600000, zcr: 19.000000
energy: 75.260000, zcr: 18.000000
energy: 66.150000, zcr: 11.000000
energy: 50.580000, zcr: 12.000000
energy: 44.310000, zcr: 15.000000
energy: 57.740000, zcr: 14.000000
energy: 54.170000, zcr: 17.000000
energy: 48.010000, zcr: 17.000000
energy: 74.420000, zcr: 12.000000
energy: 71.480000, zcr: 14.000000
energy: 64.160000, zcr: 14.000000
energy: 79.570000, zcr: 11.000000
energy: 58.120000, zcr: 13.000000
energy: 47.410000, zcr: 9.000000
energy: 49.640000, zcr: 13.000000
energy: 104.070000, zcr: 8.000000
energy: 75.600000, zcr: 11.000000
energy: 93.500000, zcr: 10.000000
energy: 52.420000, zcr: 15.000000
energy: 52.420000, zcr: 10.000000
energy: 47.900000, zcr: 11.000000
energy: 71.620000, zcr: 13.000000
energy: 73.240000, zcr: 11.000000
energy: 43.140000, zcr: 13.000000
energy: 86.770000, zcr: 12.000000
energy: 56.250000, zcr: 17.000000
energy: 48.440000, zcr: 13.000000
energy: 47.460000, zcr: 12.000000
energy: 396.760000, zcr: 11.000000
energy: 159175.550000, zcr: 3.000000
energy: 151.180000, zcr: 6.000000
energy: 70.800000, zcr: 11.000000
energy: 63597.380000, zcr: 1.000000
energy: 7396406.850000, zcr: 0.000000
energy: 14206253.100000, zcr: 0.000000
energy: 100723329.660000, zcr: 0.000000
energy: 111367997.860000, zcr: 0.000000
energy: 115352318.480000, zcr: 0.000000
energy: 124523507.670000, zcr: 0.000000
energy: 201517321.880000, zcr: 0.000000
energy: 232872003.260000, zcr: 0.000000
energy: 229275475.380000, zcr: 0.000000
energy: 184550795.440000, zcr: 0.000000
energy: 198081180.010000, zcr: 0.000000
energy: 182669137.860000, zcr: 0.000000
energy: 201356652.480000, zcr: 0.000000
energy: 157247367.530000, zcr: 0.000000
energy: 172440914.430000, zcr: 0.000000
energy: 164813907.650000, zcr: 0.000000
energy: 137751469.220000, zcr: 0.000000
energy: 134430643.810000, zcr: 0.000000
energy: 192997679.690000, zcr: 0.000000
energy: 172550130.490000, zcr: 0.000000
energy: 149441867.860000, zcr: 0.000000
energy: 157508115.080000, zcr: 0.000000
energy: 145202115.070000, zcr: 0.000000
energy: 119376718.840000, zcr: 0.000000
energy: 117801093.650000, zcr: 0.000000
energy: 113602032.520000, zcr: 1.000000
energy: 131281342.110000, zcr: 0.000000
energy: 103438666.000000, zcr: 0.000000
energy: 111274272.380000, zcr: 0.000000
energy: 92815682.780000, zcr: 0.000000
energy: 111851558.120000, zcr: 0.000000
energy: 108565763.720000, zcr: 0.000000
energy: 125943139.520000, zcr: 0.000000
energy: 98928206.670000, zcr: 0.000000
energy: 82202386.940000, zcr: 0.000000
energy: 96168929.770000, zcr: 0.000000
energy: 85532531.570000, zcr: 0.000000
energy: 86111910.100000, zcr: 0.000000
energy: 73492231.030000, zcr: 0.000000
energy: 76267533.680000, zcr: 0.000000
energy: 78775286.820000, zcr: 0.000000
energy: 72704126.560000, zcr: 0.000000
energy: 75668285.060000, zcr: 0.000000
energy: 72677078.430000, zcr: 0.000000
energy: 85551179.490000, zcr: 0.000000
energy: 69967494.410000, zcr: 0.000000
energy: 77625120.490000, zcr: 0.000000
energy: 74359133.060000, zcr: 0.000000
energy: 70892063.490000, zcr: 1.000000
energy: 85491127.470000, zcr: 0.000000
energy: 65239412.680000, zcr: 0.000000
energy: 70391401.350000, zcr: 0.000000
energy: 64162610.460000, zcr: 0.000000
energy: 62530682.060000, zcr: 0.000000
energy: 79096456.570000, zcr: 0.000000
energy: 64328308.350000, zcr: 0.000000
energy: 67406343.270000, zcr: 0.000000
energy: 65715600.750000, zcr: 0.000000
energy: 86446040.660000, zcr: 0.000000
energy: 70633353.190000, zcr: 0.000000
energy: 74603993.040000, zcr: 0.000000
energy: 71789427.650000, zcr: 0.000000
energy: 105955945.580000, zcr: 0.000000
energy: 12611631.680000, zcr: 0.000000
energy: 3679958.560000, zcr: 0.000000
energy: 13133.850000, zcr: 0.000000
energy: 585.780000, zcr: 8.000000
energy: 112.550000, zcr: 16.000000
energy: 48.940000, zcr: 14.000000
energy: 72.590000, zcr: 16.000000
energy: 50.700000, zcr: 13.000000
energy: 64.900000, zcr: 9.000000
energy: 82.140000, zcr: 12.000000
energy: 36.850000, zcr: 15.000000
energy: 51.200000, zcr: 15.000000
energy: 44.980000, zcr: 16.000000
energy: 71.150000, zcr: 12.000000
energy: 59.680000, zcr: 10.000000
energy: 45.840000, zcr: 18.000000
energy: 40.780000, zcr: 20.000000
